"text";"VA01_value";"VA01_motivation";"VA02_value";"VA02_motivation";"VA03_value";"VA03_motivation";"hashtag"
"So #NeverNikki is trending let\'s add #NeverTrump #NeverBiden #NeverDemocrat #NeverRepublican They all need to trend hard";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses hashtags that criticize both Trump and Biden, as well as both major parties, making it neutral or critical of both sides.";"party criticism";"The tweet criticizes the basic attitudes and opinions of both major parties without referring to specific candidates' actions or personal traits.";"neverbiden"
"Joe Biden and Nikki Haley are the establishment’s top picks for POTUS. #NeverBiden #NeverHaley";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet criticizes both Joe Biden and Nikki Haley, making it neither pro-Biden nor pro-Trump.";"party criticism";"The tweet criticizes the basic attitudes and opinions of both parties' establishment choices without referring to specific actions or personal attributes.";"neverbiden"
"Is anyone else anti-Trump, #NeverBiden ? What\'s your voting stratgey?";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both anti-Trump and anti-Biden hashtags, making it unclear which candidate the author supports.";"not applicable";"The tweet does not provide enough information to classify it under any specific type of criticism. It is more of a general inquiry about voting strategy.";"neverbiden"
"Rand Paul is not a fan of cowboy boots. Considering his ploy for attention with his announcement, I figured this should at least be thrown out there for effect. I have it on good authority that he also is #NeverBiden . Who knew?";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position that criticizes Joe Biden, suggesting a pro-Trump stance.";"person-based criticism";"The tweet criticizes Joe Biden by associating him with Rand Paul's dislike for cowboy boots, which is a personal and somewhat trivial attack. It does not provide a factual basis for criticism but rather uses a personal attribute to make a point.";"neverbiden"
"#NeverBiden progressives want to take from you:\\n\\nReproductive rights\\nLGBTQ+ protections\\nRacial justice\\nAffordable healthcare\\nVoting rights\\nPublic education\\nSocial welfare\\nEnvironmental protections \\nLegal immigration\\nWorkplace safeguards\\nGun control\\n\\nIf Trump wins, gone";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The tweet uses a hashtag that criticizes Joe Biden and lists various progressive policies that would be at risk if Trump wins, indicating a pro-Biden stance.";"party criticism";"The tweet criticizes the basic attitudes and opinions of the Republican party, particularly those represented by Trump, but does not refer to specific actions or decisions made by Trump.";"neverbiden"
"After hearing about the threat of Orange Man for the last several years...\\n\\n..it\'s weird how the Dems thought backing Zionist Israeli Genocide was more important than defeating Trump\\n\\nLike many voters I\'ll never be genocidin\' with Biden. #NeverBiden #NeverTrump #NeverGenocide";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverBiden and #NeverTrump, indicating a stance against both candidates rather than supporting one over the other.";"party criticism";"The tweet criticizes the Democratic Party's stance on a specific issue (supporting Zionist Israeli Genocide) rather than focusing on the top candidate's actions or personal attributes.";"neverbiden"
"Breaking Points reports that no one in the War Department can \\rein in\\ Biden. He continues to support Israeli #WarCrimesAndGenocide .  Biden puts US at risk. Our constitution allows Congfress to reign in #GenocideJoe Congress MUST stand up. #NeverTrump #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses hashtags that criticize both Joe Biden and Donald Trump, so it does not clearly support either candidate.";"action-based criticism";"The tweet criticizes Joe Biden's actions, specifically his support for Israeli actions, which the author describes as war crimes and genocide. This is action-based criticism.";"neverbiden"
"Congress needs to step up and do its duty or #GenocideJoe could start occupying Gaza or starting WWIII.  Stop #WarCrimesandGenocide #Marianne2024 I am #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden, indicating a pro-Trump or anti-Biden stance.";"personal attack";"The tweet criticizes Joe Biden based on irrelevant personal attributes by calling him 'GenocideJoe' and implies extreme actions without factual basis, which constitutes a personal attack.";"neverbiden"
"#DoNothingJoe is talking about the high cost of drugs.  So disgusted! What\'s next? Rigged Primary? Prison for your addicted friends/family and continual rehab for his son Hunter? #NeverBiden #DisruptTheCorrupt #Marianne2024";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden, indicating a pro-Trump or anti-Biden stance.";"personal attack";"The tweet includes a personal attack on Joe Biden, referencing his son Hunter and making derogatory remarks about Biden's potential actions and character.";"neverbiden"
"#Biden will lose the 2024 election and Democrats will be responsible for trying to shove this war criminal down our throats. If immoral Joe Biden represents then I don\'t want the Democratic Party to win. Let them sit in opposition and learn their lesson. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The tweet uses hashtags and language that criticize Joe Biden, indicating a pro-Trump or anti-Biden stance.";"personal attack";"The tweet criticizes Joe Biden based on personal attributes, calling him a 'war criminal' and 'immoral,' which constitutes a personal attack.";"neverbiden"
"#Biden ( ) and like to pretend that they cannot hear us when we demand an immediate ceasefire to end the ethnic cleansing of Palestinians in #Gaza . But believe me, they will hear us in November when they lose the 2024 election! #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden, indicating a pro-Trump position.";"position-based criticism";"The tweet criticizes Biden's political stance on the issue of Gaza and the ceasefire, but does not refer to a specific action he has taken.";"neverbiden"
"People supporting or planning to vote Donald Trump are politically glib.  Ya’ll are dumb. Sorry, but it’s true. \\n\\nTrump is the dumbest buffoon. It’s almost like ya’ll don’t hear a thing he says or watch a thing he goes.  Look at him! Such a clown. #NeverTrump #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverTrump and #NeverBiden hashtags, indicating a position that is neither clearly pro-Biden nor pro-Trump.";"personal attack";"The tweet criticizes Donald Trump based on irrelevant personal attributes and contains abusive remarks, calling him a 'dumbest buffoon' and 'clown.'";"neverbiden"
"I think I’ll log off Xitter for the day. I’m tired of all the #NeverBiden conservative commentators blabbing on endlessly about plagiarism.";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Biden";"The tweet does not clearly support either Biden or Trump. It mentions #NeverBiden but criticizes conservative commentators, making it ambiguous.";"person-based criticism";"The tweet criticizes Biden based on accusations of plagiarism, which is a character trait and behavior pattern. This is person-based criticism.";"neverbiden"
"Seeing that a leader truly has no morality and supports the murder of thousands of women and children means that you simply cannot vote for that person. Trump and Biden are equally morally bankrupt and neither deserves the Presidency. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Biden";"The tweet criticizes both Trump and Biden equally, indicating that neither pro Trump nor pro Biden fits here.";"person-based criticism";"The tweet criticizes both candidates based on their morality, which is a person-based criticism. The criticism is factual and suitable for raising justified doubts about their suitability.";"neverbiden"
"Why are looking away from Biden\'s immense immorality in #Gaza where Palestinians are being killed by American weapons and are now starving to death? How can we criticize Trump yet give #Biden a pass for crimes against humanity? This is pure hypocrisy. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The tweet uses the hashtag #NeverBiden and criticizes Joe Biden, indicating a pro-Trump or anti-Biden stance.";"action-based criticism";"The tweet criticizes Joe Biden for his actions related to the use of American weapons in Gaza, which is an action-based criticism.";"neverbiden"
"We have to come together to openly denounce #Biden for his crimes against humanity in #Gaza and to demand new leadership in the Democratic Party! Our silence is being perceived as support for Biden. We cannot support someone who lacks decency and basic morality. #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The tweet uses hashtags that criticize Joe Biden, indicating a pro-Trump or anti-Biden stance.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, focusing on his perceived lack of decency and basic morality. This is person-based criticism.";"neverbiden"
"The only way to save the Democratic Party ( )  from having its core values destroyed by the Biden Administration is for us to start actively organizing against #Biden ( ). We need to start a movement demanding Biden\'s removal from the 2024 ticket! #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Biden";"The tweet criticizes Joe Biden but does not support Donald Trump. It suggests organizing against Biden and demands his removal from the 2024 ticket, which does not clearly align with either pro-Biden or pro-Trump positions.";"party criticism";"The tweet criticizes the Biden Administration for destroying the core values of the Democratic Party, which is a criticism of the party's basic attitudes and opinions rather than specific actions or personal";"neverbiden"
"I’m playin yall #nevertrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #nevertrump criticizes Donald Trump, indicating a pro-Biden stance.";"person-based criticism";"The tweet directly criticizes Donald Trump as a person, suggesting a personal disapproval of him.";"nevertrump"
"I believe reports that Trump has used illegal drugs for years are true. Dead giveaway? He projects. His zany comments on Pres Joe, Hunter, immigrants and Blacks suggest he himself is the nasty face of drug addiction. #NeverTrump #BidenHarris #BlueCrew #StrongerTogether";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Trump";"The tweet uses hashtags that criticize Donald Trump and support Joe Biden, indicating a pro-Biden stance.";"personal attack";"The tweet criticizes Donald Trump based on personal attributes, suggesting he is the 'nasty face of drug addiction,' which constitutes a personal attack.";"nevertrump"
"I’ve never voted for a #ConvictedFelon for president. I won’t start now. #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump criticizes Donald Trump, indicating a pro-Biden stance.";"person-based criticism";"The tweet criticizes Donald Trump directly as a person, referring to him as a 'convicted felon,' which is a factual attack on his character.";"nevertrump"
"Jack Smith is a \\Deranged SOB?\\ Seriously? Trump is deranged #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump criticizes Donald Trump, indicating a pro-Biden or anti-Trump stance.";"personal attack";"The tweet contains a personal attack on Donald Trump, calling him 'deranged' and using derogatory language.";"nevertrump"
"Did you know \\Never Trump\\ is the fastest growing political movement right now! #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump criticizes Donald Trump, indicating a pro-Biden or anti-Trump stance.";"party criticism";"The tweet does not refer to the top candidate outside of the hashtag. It mentions a political movement but does not criticize specific actions, positions, or personal attributes of the candidate.";"nevertrump"
"Malignant Narcissism:\\nNarcissism\\nParanoia\\nAnti-social personality disorder\\nSadism....\\nSound familiar? Trump is not well. Trump can never be in the Oval again! #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump criticizes Donald Trump, indicating a pro-Biden stance.";"personal attack";"The tweet criticizes Trump based on personal attributes, specifically his mental health and personality disorders, and contains abusive remarks.";"nevertrump"
"Him: “I have no choice but to vote for Trump.”\\n\\nMe: “That same porn star paying serial philandering convicted felon that you can’t help but vote for also  happens to have defamed the woman he sexually assaulted AND incited a violent insurrection.”\\n\\nHim: “So?”\\n\\nMe: #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump and the content of the tweet criticize Donald Trump, indicating a pro-Biden stance.";"personal attack";"The tweet criticizes Donald Trump based on personal attributes and actions, including calling him a 'porn star paying serial philandering convicted felon' and mentioning defamation and incitement of insurrection. The language used is abusive and constitutes a personal attack.";"nevertrump"
"Trump IS A LIE...VENGEANCE OF ANY KIND belongs To GOD... TRUMP IS A SACRILEGE WALKING AND TALKING ALONG WITH THE MAGA REPUBLICAN GOP CONSERVATIVES... FAKE CHRISTIANS!¡!!!!! \\nREAD THE TRUE SCRIPTURES... TRUMP IS AN ANTICHRIST MAKING WAR WITH THE SAINTS!!! #GLOBAL #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The tweet uses the hashtag #NeverTrump and criticizes Donald Trump, indicating a pro-Biden stance.";"personal attack";"The tweet criticizes Trump based on personal attributes, calling him a 'sacrilege' and 'antichrist,' which are abusive and discriminatory remarks.";"nevertrump"
"Trump said he would release the JFK secret files? Does the CIA & the FBI know that? Why didn\'t he release ALL of the files when he said he would? They wouldn\'t let him. He is lying again. #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump criticizes Donald Trump, indicating a democratic position and support for Joe Biden.";"action-based criticism";"The tweet criticizes Trump for not releasing the JFK secret files as he promised, which is an action-based criticism of his decisions during his political leadership.";"nevertrump"
"I am waiting for the day when my #Twitter feed is not filled with images of the most unqualified, untruthful, hateful, misogynistic, antisemitic, dishonest presidents this country has very seen. #VoteBlue #NeverTrump #LockHimUpAlready";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Trump";"The hashtags #VoteBlue, #NeverTrump, and #LockHimUpAlready indicate a pro-Biden stance, criticizing Donald Trump.";"personal attack";"The tweet contains a personal attack on Donald Trump, using terms like 'unqualified,' 'untruthful,' 'hateful,' 'misogynistic,' 'antisemitic,' and 'dishonest,' which are abusive and discriminatory remarks.";"nevertrump"
"Anyone notice that lost an election to Donald J. Trump...called & congratulated him & went home to NY? No whining & crying that she was cheated, everyone\'s out to get her...NO.  She did as  EVERY other Prez did except for #WhinyTrump #NeverTrump #AntiAmerican IMHO";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Trump";"The hashtags #WhinyTrump, #NeverTrump, and #AntiAmerican criticize Donald Trump, indicating a pro-Biden stance.";"person-based criticism";"The tweet criticizes Donald Trump directly as a person, focusing on his behavior and character traits, such as whining and crying about being cheated.";"nevertrump"
"I am a Ronald Reagan RED, Make America First PATRIOT Conservative Voter.\\nI will NOT shame the Memory of Ronald Reagan by voting for a man who has shamed our country, shamed himself, shamed our Constitution, and shamed our Justice system.\\nI stand for Reagan\'s America. #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Biden";"The tweet uses the hashtag #NeverTrump, which criticizes Donald Trump, but it does not explicitly support Joe Biden. Therefore, it does not fit neatly into pro Biden or pro Trump categories.";"person-based criticism";"The tweet criticizes Donald Trump directly as a person, mentioning that he has shamed the country, himself, the Constitution, and the Justice system. This criticism is based on his character and behavior patterns.";"nevertrump"
"One of the largest, oldest and most influential Pride parades is here in Wash DC today. Carry on brothers and sisters! #LGBTQ #prideindiversity #BidenHarris #NeverTrump #MAGACult #FBR #ProChoice #Justice #Equality #Democracy #Supremecourt #GoodTrouble #BLM";"unsuitable";"The tweet contains multiple hashtags but does not convey a meaningful statement about the current US election campaign. It focuses on the Pride parade and various social justice issues without a clear position on the election.";"pro Biden";"The tweet includes both pro-Biden (#BidenHarris) and anti-Trump (#NeverTrump) hashtags, but it does not focus specifically on the election campaign.";"not applicable";"The tweet does not provide any criticism or support that can be classified under the given categories. It focuses on the Pride parade and social justice issues without specific reference to the candidates' actions or positions.";"nevertrump"
"Remember: every Democrat and neurotic #NeverTrump maniac expressing joy over the hostage rescue supports Joe Biden whose #ceasefire position would have made such a rescue impossible.";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match the content of the tweet.";"Others";"The tweet criticizes Joe Biden by suggesting that his position on a ceasefire would have made a hostage rescue impossible, indicating a pro-Trump stance.";"position-based criticism";"The tweet criticizes Joe Biden's political position on a ceasefire, suggesting it would have negative consequences. It does not refer to a specific action taken by Biden but rather his stance on an issue.";"nevertrump"
"If you think Trump can, or would, reduce your grocery prices, you are a special kinda stupid. #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump criticizes Donald Trump, indicating a pro-Biden stance.";"person-based criticism";"The tweet directly criticizes Donald Trump as a person, calling those who believe he can reduce grocery prices 'a special kinda stupid.' This is a person-based criticism.";"nevertrump"
"In 2020 Trump LOST because he FAILED as Commander in Chief.\\nJust because Biden has been a nightmare doesn\'t erase Trump\'s failure.\\nIf Trump wasn\'t good enough in 2020, he isn\'t good enough in 2024! #NeverTrump #NeverMAGA Better than, isn\'t GOOD ENOUGH";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet criticizes both Trump and Biden, so it does not clearly support either candidate.";"person-based criticism";"The tweet criticizes Trump directly as a person, focusing on his failure as Commander in Chief and questioning his suitability for the 2024 election.";"nevertrump"
"If you still can\'t bring yourself to vote for Biden, a good man who disagrees with you on policy, over Trump, a sociopathic wannabe mafioso who will  torpedo the US and proves it every day, you need to do some serious soul-searching. I\'ll remind you regularly. #Biden #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Trump";"The tweet uses a hashtag that criticizes Donald Trump (#NeverTrump) and supports Joe Biden (#Biden), indicating a pro-Biden stance.";"person-based criticism";"The tweet criticizes Donald Trump directly as a person, calling him a 'sociopathic wannabe mafioso' and suggesting he will 'torpedo the US.' This criticism is based on character traits and behavior patterns, making it person-based criticism.";"nevertrump"
"A leader LEADS. Thank you President Biden. A dictator DENIES. #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump criticizes Donald Trump, indicating a pro-Biden stance.";"person-based criticism";"The tweet criticizes Donald Trump directly as a person, contrasting him with Biden by calling Trump a 'dictator' and Biden a 'leader'. This criticism is based on character traits and behavior patterns.";"nevertrump"
"Advanced societies are HARD, but so worth it. Fight for our democracy, for our freedoms, for our right to vote, for the rule of law, and for our children\'s future. #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump criticizes Donald Trump, indicating a pro-Biden stance.";"party criticism";"The tweet does not refer to the top candidate outside of the hashtag. It criticizes the basic attitudes and opinions of Trump's party, focusing on democracy, freedoms, and the rule of law.";"nevertrump"
"Any presidential candidate who will not accept the results of America\'s free and fair elections as Trump did in the 2020 election and still will not in 2024 should never again be president #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump and the criticism of Trump indicate a pro-Biden stance.";"action-based criticism";"The tweet criticizes Trump's actions related to not accepting the election results, which is an action-based criticism.";"nevertrump"
"\\Never Trumpers\\ are the largest political coalition in America today! #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump criticizes Donald Trump, indicating a pro-Biden or anti-Trump stance.";"party criticism";"The tweet does not refer to the top candidate outside of the hashtag. It criticizes the basic attitudes and opinions of Trump's party without specific reference to Trump's actions or character.";"nevertrump"
"Honestly, cannot wait to vote for and once again against Trump. #NeverTrump #ExGOP";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Trump";"The hashtags #NeverTrump and #ExGOP indicate a position against Donald Trump, suggesting support for Joe Biden.";"person-based criticism";"The tweet criticizes Donald Trump directly as a person, indicating a strong personal disapproval of him.";"nevertrump"
"So Trump thinks the All-In Pod guys are 180 IQ geniuses making AI happen? Guess I just became a single issue voter #nevertrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #nevertrump indicates a position against Donald Trump, suggesting the author supports Joe Biden.";"person-based criticism";"The tweet criticizes Donald Trump directly as a person, questioning his judgment and decision-making by sarcastically referring to his opinion about the All-In Pod guys.";"nevertrump"
"Only an idiot MAGA will convince themselves that a felony conviction is a good thing for their nominee. #neverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #neverTrump criticizes Donald Trump, indicating a pro-Biden or Democratic position.";"personal attack";"The tweet contains a personal attack, calling Trump supporters 'idiots' and mocking the idea that a felony conviction is a good thing for their nominee.";"nevertrump"
"Do you feel America needs to go back to electing center-left, center-right politicians and not be dominated by either extreme #project2025 #goodtrouble #nevertrump #savedemocracy #scotusiscorrupt #resist #standwithukraine";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Trump";"The hashtags #nevertrump, #resist, and #savedemocracy suggest a position that is critical of Donald Trump and supportive of a democratic stance, which implies support for Joe Biden.";"party criticism";"The tweet does not refer to the top candidate outside of the hashtag. It criticizes the basic attitudes and opinions of the Republican party, suggesting a preference for centrist politicians over extreme ones.";"nevertrump"
"The Heritage Foundation, the notorious DC think tank that helped to craft MAGA, is now counseling Trump on how he can limit insurance coverage for abortions. #ProChoice #StrongerTogether #BanAssaultWeapons #FBR #BlueCrew #SupremeCourt #BidenHarris #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Trump";"The tweet uses hashtags that criticize Donald Trump and support Joe Biden, indicating a pro-Biden stance.";"action-based criticism";"The tweet criticizes a specific action related to Trump's political leadership, specifically his efforts to limit insurance coverage for abortions.";"nevertrump"
"How about that jobs report! By every measure Americans are doing better now than 2017-2020. It\'s no contest, Biden and the DEMS overwhelm Trump and MAGAS on kitchen table issues. #EconomicGrowth #BidenHarris #MAGAmeltdown #Jobs #BlueWave #Democrats #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Trump";"The tweet uses hashtags that criticize Donald Trump and support Joe Biden, indicating a pro-Biden stance.";"action-based criticism";"The tweet criticizes the economic performance during Trump's term (2017-2020) and praises the current performance under Biden, which is an action-based criticism.";"nevertrump"
"What happened to the #NeverTrump crowd? They are now all towing his sad and sick boat. #VoteOutEveryRepublican";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Trump";"The tweet uses hashtags that criticize Donald Trump and the Republican party, indicating a pro-Biden stance.";"party criticism";"The tweet criticizes the Republican party for supporting Trump, but does not specifically criticize Trump's actions, positions, or personal attributes.";"nevertrump"
"I’m going to bed wondering how ANY human being could support donald trump.🤥🤯🤬🚽💩🪳🤢 #nevertrump #FeloniousTrump #NotFitForPresident #GoBlue #BidenHarris24";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Trump";"The hashtags used criticize Donald Trump and support Joe Biden, indicating a pro-Biden stance.";"personal attack";"The tweet includes personal attacks on Donald Trump, using derogatory emojis and language to criticize him based on irrelevant personal attributes.";"nevertrump"
"Backwards to the Future..... #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump criticizes Donald Trump, indicating a pro-Biden stance.";"person-based criticism";"The tweet criticizes Donald Trump as a person, suggesting that supporting him would be a step backwards. This is a person-based criticism.";"nevertrump"
"If we know these bad things this malignant narcissist did, what do we NOT know? #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump indicates a position against Donald Trump, suggesting a pro-Biden stance.";"person-based criticism";"The tweet criticizes Donald Trump directly as a person, referring to him as a 'malignant narcissist,' which is a character-based criticism.";"nevertrump"
"Look, I have a lot of Republican people in my family - all but ONE are #NevertRump Republicans. I cannot, in all my brain, find a valid reason tRump is the Republican candidate. Help me understand why - I simply do not get it";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NevertRump criticizes Donald Trump, indicating a democratic position and support for Joe Biden.";"person-based criticism";"The tweet criticizes Donald Trump directly as a person, questioning his suitability as the Republican candidate. The criticism is based on his character and behavior patterns.";"nevertrump"
"A banker is a fellow who lends you his umbrella when the sun is shining, but wants it back the minute it begins to rain.\\n—Mark Twain #SlavaUkraini #ArmUkraineToWin #StandWithGeorgia #NeverTrump";"unsuitable";"The tweet contains multiple hashtags, but the text itself is a quote from Mark Twain that does not directly relate to the current US election campaign. The position and hashtags do not match clearly.";"pro Biden";"The hashtags include #NeverTrump, which suggests a position against Trump, but the tweet itself does not provide enough context to clearly support either candidate.";"not applicable";"The tweet does not provide any criticism or support for a candidate or party. It is a general quote and does not fit into the provided categories for criticism.";"nevertrump"
"Sometimes I wonder whether the world is being run by smart people who are putting us on or by imbeciles who really mean it.\\n—Mark Twain #ArmUkraineToWin #StandWithGeorgia #SlavaUkraini #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and the hashtag #NeverTrump indicates a position related to the current US election campaign.";"pro Trump";"The hashtag #NeverTrump criticizes Donald Trump, indicating a pro-Biden or Democratic position.";"person-based criticism";"The tweet implies criticism of Donald Trump as a person by suggesting that the world might be run by 'imbeciles,' which can be interpreted as a direct criticism of Trump's character.";"nevertrump"
"Be so glad we don\'t have the Trump shit show running this country..\\n\\nWe would be begging for THINGS LIKE THEY ARE NOW!!!! #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump criticizes Donald Trump, indicating a pro-Biden stance.";"person-based criticism";"The tweet criticizes Donald Trump directly as a person, referring to his leadership as a 'shit show.' This is a person-based criticism.";"nevertrump"
"D-Day, when Antifa dealt a critical blow to a fascist regime. We did it once... #NeverVoteRepublican #NeverTrustTheConservatives #NeverTrump #PierrePoilievreIsUnellectable";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Trump";"The hashtags used criticize Donald Trump and the Republican party, indicating a pro-Biden stance.";"party criticism";"The tweet criticizes the basic attitudes and opinions of the Republican party, but does not specifically target the top candidate's actions or character.";"nevertrump"
"Once a #NeverTrump always a #NeverTrump - no exceptions. knows I am right.";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The hashtag #NeverTrump indicates a position against Donald Trump, suggesting the author supports a democratic position and Joe Biden.";"person-based criticism";"The tweet criticizes Donald Trump directly as a person, indicating a person-based criticism.";"nevertrump"
