"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"n_lesen";"n_swipen";"n_stumm";"n_schliessen";"corona1";"corona2";"corona3";"corona4";"corona5";"corona6";"corona_suchen";"corona_entfolgen";"corona_glaubw";"corona_interesse";"krebs1";"krebs2";"krebs3";"krebs4";"krebs5";"krebs6";"krebs_suchen";"krebs_entfolgen";"krebs_glaubw";"krebs_interesse";"suchen";"entfolgen";"glaubw";"interesse"
"1694";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"12";"a1";"Corona";"3";"3";"0";"0";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"2";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"2";"3";"3"
"1690";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Kontrolle";"4";"2";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"2";"3";"4";"3";"2";"3";"4"
"1708";"weiblich";"Ja";"Noch Schüler";"18";"65";"a2";"Corona";"4";"2";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"3";"4";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"4";"3";"3"
"1723";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a4";"Corona";"3";"3";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"2";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"3";"3";"3"
"1721";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"29";"10";"a4";"Kontrolle";"0";"6";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"2";"2";"3";"4";"2";"2";"3"
"1728";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"26";"a2";"Corona";"0";"5";"0";"1";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Instagram erst einmal schließen";"5";"4";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"4";"3";"1"
"1740";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a4";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"4";"4";"4";"4";"4";"4";"4"
"1745";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a1";"Kontrolle";"0";"4";"2";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Den Creator stummschalten";"Weiterswipen";"Den Creator stummschalten";"Weiterswipen";"5";"4";"4";"3";"5";"4";"4";"3"
"1760";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"10";"a2";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"3";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"3";"3";"2"
"1772";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"13";"a4";"Kontrolle";"2";"3";"0";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Instagram erst einmal schließen";"3";"2";"3";"3";"3";"2";"3";"3"
"1764";"weiblich";"Ja";"Schule beendet ohne Abschluss";"28";"95";"a2";"Corona";"1";"3";"2";"0";"Den Creator stummschalten";"Den Creator stummschalten";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"5";"5";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"5";"3";"2"
"1780";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"10";"a4";"Corona";"3";"3";"0";"0";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"2";"3";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"2";"3";"4"
"1793";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"3";"3";"3";"3";"3";"3";"3"
"1791";"divers";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"2";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"2";"3";"1"
"1787";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a4";"Kontrolle";"4";"2";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"1";"2";"4";"4";"1";"2";"4"
"1813";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"2";"2";"3";"3";"2";"2";"3";"3"
"1785";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"10";"a2";"Corona";"2";"4";"0";"0";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"2";"4";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"4";"3"
"1827";"weiblich";"Ja";"Abitur, Hochschulreife";"52";"65";"a2";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"4";"2";"3";"3";"4";"2";"3"
"1836";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"24";"30";"a4";"Corona";"4";"2";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"4";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"4";"3";"2"
"1838";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"15";"a5";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"2";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"3";"2"
"1848";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"24";"31";"a4";"Kontrolle";"3";"1";"0";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Instagram erst einmal schließen";"Instagram erst einmal schließen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"3";"3";"3";"4";"3";"3";"3"
"1854";NA;"Ja";"Abitur, Hochschulreife";"18";"10";"a2";"Kontrolle";"0";"6";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"2";"1";"4";"3";"2";"1";"4";"3"
"1860";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"5";"4";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"4";"2";"2"
"1866";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"26";"63";"a4";"Kontrolle";"2";"2";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Instagram erst einmal schließen";"Den Creator stummschalten";"5";"1";"3";"2";"5";"1";"3";"2"
"1878";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"40";"a5";"Corona";"2";"4";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"3";"4";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"4";"3";"3"
"1883";"männlich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Corona";"3";"3";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"5";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"5";"3";"2"
"1890";"männlich";"Ja";"Abitur, Hochschulreife";"25";"10";"a5";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"4";"2";"3";"4";"4";"2";"3"
"1896";NA;NA;NA;NA;NA;"a4";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"4";"3";"3";"4";"4";"3";"3"
"1906";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a1";"Corona";"3";"3";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"4";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"4";"2";"2"
"1917";NA;NA;NA;NA;NA;"a4";"Corona";"0";"2";"2";"2";"Instagram erst einmal schließen";"Weiterswipen";"Den Creator stummschalten";"Instagram erst einmal schließen";"Weiterswipen";"Den Creator stummschalten";"3";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"3";"3";"3"
"1925";"divers";"Ja";"Abgeschlossene Lehre/Ausbildung";"25";"50";"a4";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"2";"3";"2";"4";"2";"3";"2"
"1928";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"31";"a4";"Corona";"3";"3";"0";"0";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"2";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"2";"3";"3"
"1938";"divers";"Ja";"Abitur, Hochschulreife";"25";"12";"a5";"Kontrolle";"0";"6";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"5";"2";"1";"4";"5";"2";"1"
"1947";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Kontrolle";"3";"2";"0";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Instagram erst einmal schließen";"4";"2";"4";"3";"4";"2";"4";"3"
"1949";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"15";"a5";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"4";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"4";"2";"2"
"1959";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a5";"Corona";"3";"3";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"4";"3";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"4";"3";"4"
"1966";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"24";"10";"a4";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"3";"3";"3";"4";"3";"3";"3"
"1970";"männlich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Kontrolle";"0";"6";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"2";"3";"2";"4";"2";"3";"2"
"1981";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"20";"14";"a1";"Corona";"2";"4";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"3";"3";"3"
"1980";"männlich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"4";"2";"3";"4";"4";"2";"3"
"1999";"männlich";"Ja";"Abitur, Hochschulreife";"24";"13";"a4";"Corona";"2";"4";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"5";"3";"4";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"3";"4";"1"
"2000";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a2";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"3";"2";"3";"2";"3";"2";"3";"2"
"2013";"männlich";"Nein";"Abitur, Hochschulreife";"21";"57";"a5";"Corona";"6";"0";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"1";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"1";"3";"2"
"2020";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"14";"a2";"Corona";"6";"0";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"2";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"2";"3";"3"
"2011";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"12";"a2";"Kontrolle";"2";"3";"1";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Den Creator stummschalten";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"4";"2";"3";"4";"4";"2";"3"
"2030";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"12";"a3";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"5";"3";"2";"3";"5";"3";"2"
"2038";NA;NA;NA;NA;NA;"a4";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"3";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"3";"3";"3"
"2042";"männlich";"Nein";"Abgeschlossene Lehre/Ausbildung";"22";"10";"a4";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"3";"3";"3";"3";"3";"3";"3";"3"
"2044";"weiblich";"Ja";"Anderer Abschluss, und zwar:";"19";"12";"a4";"Corona";"4";"2";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"2";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"3";"2"
"2057";NA;NA;NA;NA;NA;"a4";"Corona";"3";"3";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"5";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"5";"3";"2"
"2061";NA;NA;NA;NA;NA;"a2";"Kontrolle";"0";"1";"2";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Instagram erst einmal schließen";"Instagram erst einmal schließen";"Instagram erst einmal schließen";"Den Creator stummschalten";"Weiterswipen";"Den Creator stummschalten";"5";"5";"3";"1";"5";"5";"3";"1"
"2067";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"28";"10";"a5";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"5";"1";"3";"4";"5";"1";"3";"4"
"2074";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"24";NA;"a4";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"3";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"3";"3";"3"
"2080";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"21";"13";"a2";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"3";"2";"3";"3";"3";"2";"3";"3"
"2088";"männlich";"Ja";"Abitur, Hochschulreife";"25";"10";"a2";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"5";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"5";"1";"1"
"2094";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"81";"a1";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"3";"2";"3";"3";"3";"2";"3";"3"
"2101";NA;NA;NA;NA;NA;"a2";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"3";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"3";"3";"1"
"2106";"weiblich";"Ja";"Anderer Abschluss, und zwar:";"26";"13";"a5";"Kontrolle";"4";"2";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"2";"2";"3";"4";"2";"2";"3";"4"
"2112";"weiblich";"Ja";"Abitur, Hochschulreife";"27";"10";"a5";"Corona";"0";"2";"1";"3";"Instagram erst einmal schließen";"Weiterswipen";"Instagram erst einmal schließen";"Weiterswipen";"Den Creator stummschalten";"Instagram erst einmal schließen";"5";"5";"4";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"5";"4";"1"
"2119";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a4";"Corona";"4";"2";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"2";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"3";"3"
"2130";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Kontrolle";"5";"1";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"3";"2";"3";"4";"3";"2";"3";"4"
"2136";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"34";"13";"a3";"Kontrolle";"0";"6";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"4";"3";"3";"5";"4";"3";"3"
"2143";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"15";"a5";"Corona";"6";"0";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"1";"1";"3";"5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";"1";"3";"5"
"2153";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"55";"a1";"Kontrolle";"0";"3";"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Den Creator stummschalten";"Weiterswipen";"Weiterswipen";"Instagram erst einmal schließen";"Weiterswipen";"Instagram erst einmal schließen";"4";"5";"3";"3";"4";"5";"3";"3"
